LAW_CODE,LAW_CAT_CD,Law_ID
PL 2151501,F,130
PL 121110A,M,131
PL 1553500,F,132
PL 2155006,M,133
PL 1654000,M,134
PL 21551B4,F,135
PL 1902300,M,136
VTL116300A,I,137
PL 2200602,F,138
PL 1451000,F,139
PL 2251501,M,140
PL 1403500,M,141
PL 2405001,M,142
PL 1701001,F,143
PL 1657100,M,144
PL 1654505,F,145
PL 1306501,F,146
PL 2212500,F,147
PL 1205501,F,148
PL 1902503,M,149
PL 2200607,F,150
PL 2052001,M,151
PL 1950500,M,152
ABC0064B00,M,153
PL 1402502,F,154
PL 2211002,M,155
FOA9000016,,156
PL 1701002,F,157
PL 1654502,F,158
PL 16515M9,M,159
PL 2052501,F,160
PL 1908001,F,161
PL 2253001,M,162
AC 0161186,V,163
PL 2250500,M,164
PL 1051500,F,165
PL 2202101,F,166
AC 10203A1,M,167
PL 1211300,F,168
PL 21551B3,F,169
PL 265100A,F,170
PL 140251D,F,171
VTL1192D1C,F,172
PL 2650303,F,173
PL 2403200,F,174
PL 2203403,F,175
PL 1200509,F,176
PL 1500501,F,177
PL 2251002,F,178
PL 1652501,M,179
PL 1601002,F,180
PL 1450004,M,181
PL 2205001,M,182
PL 1305200,M,183
PL 1201500,M,184
PL 1650800,F,185
VTL06000EF,F,186
PL 1654501,F,187
PL 1651601,M,188
VTL1220B01,M,189
PL 1704001,F,190
TAX181400A,F,191
PL 2204101,F,192
VTL03750T2,I,193
PL 1450003,M,194
PL 2405003,M,195
COR0168D1A,F,196
PL 1200504,F,197
PL 2200606,F,198
PL 2302000,M,199
PL 2702500,M,200
PL 1704002,F,201
PL 1650600,F,202
ED 6512001,F,203
AC 10203A3,M,204
PL 2504500,F,205
PL 1657200,F,206
AM 0353A01,F,207
PL 2300400,M,208
PL 1302001,M,209
VTL11920U4,M,210
PL 1403002,F,211
PL 1782000,F,212
PL 2601002,M,213
PL 2203100,F,214
PL 2052002,M,215
VTL11920E2,F,216
PL 2155001,M,217
PL 1400500,V,218
PL 1251201,F,219
PL 2651003,F,220
VTL11920E3,F,221
PL 2204600,F,222
PL 2200901,F,223
PL 2052502,F,224
PL 1252001,F,225
PL 1150500,F,226
PL 265025B,F,227
PL 1200003,M,228
PL 2200605,F,229
FOA9000049,,230
VTL1192E1C,F,231
PL 1050000,M,232
PL 1351000,F,233
VTL11920D3,F,234
PL 1200700,F,235
PL 1305500,M,236
TAX18140B3,F,237
PL 1451400,M,238
PL 21551B2,F,239
PL 1908002,F,240
PL 2253002,M,241
PL 1350500,M,242
PL 2214500,F,243
PL 1653001,M,244
VTL119202Y,F,245
AC 019190B,M,246
PL 2155700,F,247
PL 1553007,F,248
PL 2200603,F,249
PL 2201602,F,250
PL 2402005,V,251
PL 1753500,F,252
AM 0353D00,V,253
ABC0096000,M,254
VTL06002AA,M,255
PL 1781000,M,256
FOA9000035,,257
PL 1501500,F,258
VTL1192UM1,M,259
PL 225102B,F,260
VTL05110A1,M,261
PL 1703000,F,262
PL 160100X,F,263
PL 2650208,F,264
PL 1902600,F,265
VTL119202X,M,266
PL 1200301,F,267
PL 240503A,M,268
TAX181400G,F,269
PL 2204401,F,270
PL 1601003,F,271
PL 4902001,F,272
AC 010125B,V,273
PL 215510C,F,274
PL 1701502,F,275
PL 1201402,M,276
PL 1651001,F,277
VTL11110D1,I,278
VTL03750T1,I,279
VTL05110EA,F,280
PL 1908600,F,281
PL 1305003,F,282
PL 160101X,F,283
VTL0511D01,M,284
VTL03750XB,I,285
HTH0015309,V,286
VTL119807A,M,287
PL 1200511,F,288
CPL5700600,M,289
PL 2650203,F,290
PL 2650107,M,291
PL 1554200,F,292
PL 215510D,F,293
PL 2204107,F,294
PL 121120H,F,295
PL 1651501,M,296
PL 2213000,F,297
VTL0510007,M,298
VTL1192AI1,I,299
PL 2201606,F,300
PL 120180T,F,301
LOC00000UM,M,302
PL 2401000,M,303
PL 140251C,F,304
PL 21551B5,F,305
PL 2204301,F,306
PL 2403004,M,307
PL 1303502,F,308
VTL0402001,I,309
PL 1907900,F,310
PL 121120T,F,311
PL 2213500,M,312
PL 1356005,M,313
PL 1051002,F,314
PL 1303001,F,315
PL 1251000,F,316
PL 1401501,M,317
PL 2200906,F,318
PL 2000000,F,319
VTL0375007,M,320
PL 2402601,V,321
PL 1206001,F,322
PL 1252503,F,323
PL 2212000,F,324
PL 1950002,M,325
PL 1150001,M,326
PL 1201800,F,327
VTL1192E3C,F,328
PL 1200508,F,329
PL 1201200,F,330
PL 2155200,F,331
PL 2402500,M,332
COR0168D03,F,333
PL 2650106,M,334
PL 245000B,M,335
PL 1907903,F,336
PL 2215000,F,337
PL 2203902,F,338
AC 0020453,V,339
PL 235220X,F,340
PL 2602002,M,341
PL 1601501,F,342
VTL0397000,M,343
PL 1907901,F,344
PL 265030S,F,345
TAX18140B2,M,346
PL 2201611,F,347
PL 1403003,F,348
PL 2155203,F,349
PL 1305002,F,350
VTL060001A,I,351
PL 125270T,F,352
TAX1814AI2,F,353
PL 120054A,F,354
PL 1454000,M,355
PL 2201607,F,356
COR0168E2A,F,357
PL 120141H,F,358
PL 2200910,F,359
PL 1753000,M,360
PL 230345A,F,361
PL 121130H,F,362
PL 1200201,F,363
VTL119809D,M,364
PL 2402006,V,365
VTL115600A,I,366
PL 1950700,F,367
PL 4902000,F,368
PL 1401502,M,369
PL 1951600,M,370
PL 2402001,V,371
PL 140100G,M,372
PL 120053X,F,373
PL 1908003,F,374
VTL03750A4,I,375
PL 2650206,F,376
PL 2201802,F,377
PL 245000A,M,378
PL 2631100,F,379
PL 2700502,M,380
PL 1306701,F,381
VTL0511A03,M,382
PL 1450501,F,383
PL 2405501,F,384
ABC0065000,M,385
PL 2600000,F,386
PL 2104000,F,387
PL 1553006,F,388
FOA9000029,,389
PL 1902601,F,390
VTL0511A04,F,391
PL 1401701,F,392
VTL03750A1,I,393
VTL111000A,I,394
PL 265031C,F,395
PL 1201003,F,396
PL 250453A,F,397
PL 165001B,M,398
PL 2151301,F,399
PL 24037M2,M,400
PL 2201603,F,401
PL 2200907,F,402
PL 2650400,F,403
PL 1650901,M,404
PL 120002H,F,405
PL 1701005,F,406
PL 12005WX,F,407
PL 2402603,V,408
PL 2203401,F,409
PL 1403001,F,410
CPL1305000,V,411
VTL03750TA,I,412
PL 1902501,M,413
VTL119401B,I,414
PL 1651506,M,415
VTL0319002,M,416
PL 2403703,M,417
LOC00000AF,F,418
PL 2753500,M,419
PL 1304003,F,420
TAX1814H31,M,421
PL 155402A,F,422
PL 120110T,F,423
PL 2203405,F,424
VTL03750XA,I,425
PL 2402007,V,426
PL 2650108,M,427
VTL03750A3,I,428
PL 2651900,F,429
PL 2205500,F,430
PL 2215500,F,431
PL 1201100,F,432
PL 2200914,F,433
PL 2200913,F,434
PL 1356009,M,435
PL 1751000,F,436
PL 2402002,V,437
PL 2251502,M,438
PL 12005WH,F,439
VTL0319001,I,440
PL 2154001,F,441
PL 120056X,F,442
PL 2631600,F,443
PL 140100B,M,444
PL 1908004,F,445
COR0168DB3,F,446
PL 125271A,F,447
PL 1800800,F,448
LOC00000BM,M,449
PL 16515V9,V,450
PL 1500100,M,451
PL 2151101,F,452
PL 120001H,F,453
COR0168E03,F,454
PL 2207700,F,455
PL 240250H,M,456
PL 2051001,F,457
PL 155250H,F,458
PHL3320000,M,459
PL 2651302,F,460
PL 2302502,F,461
PL 2201805,F,462
PL 2204402,F,463
PL 130751A,F,464
PL 1306503,F,465
PL 145004B,M,466
PL 26503BS,F,467
PL 1306502,F,468
PL 1554002,F,469
PL 14010AH,M,470
PL 1657300,F,471
VTL116300D,I,472
PL 2504502,F,473
PL 1306504,F,474
PL 1553002,F,475
PL 2155800,V,476
PL 2303405,F,477
PL 1051001,F,478
PL 4701001,F,479
PL 1304501,F,480
PL 1650001,M,481
PL 140251X,F,482
PL 2204403,F,483
VTL03750T3,I,484
VTL11100AH,I,485
VTL1192E2C,F,486
PL 2207703,F,487
PL 120052H,F,488
PL 2600001,F,489
PL 2201612,F,490
VTL0375BIB,I,491
PL 1706501,F,492
PL 145230A,F,493
VTL117200A,I,494
VTL1192EFS,F,495
ABC0092000,M,496
PL 2402003,V,497
PL 1456500,M,498
PL 2051003,F,499
PL 2200904,F,500
PL 140302X,F,501
PL 2200902,F,502
PL 4701501,F,503
PL 165154D,M,504
PL 1707001,F,505
PL 2303400,F,506
VTL06002AE,F,507
COR0168EB3,F,508
PL 2352103,F,509
PL 1501001,F,510
VTL037501A,I,511
VTL115200C,I,512
PL 26510M1,M,513
VTL11920M4,M,514
PL 2201608,F,515
PL 2631500,F,516
PL 265102B,F,517
PL 12004D4,F,518
PL 2603201,F,519
PL 145200T,F,520
PL 1302501,F,521
PL 1553502,F,522
FOA9000015,,523
PL 21551B6,F,524
TAX181700A,M,525
PL 2650901,F,526
COR0168D04,F,527
PL 2302501,F,528
PL 2251001,F,529
PL 1309600,F,530
VTL0375002,I,531
PL 1303503,F,532
PL 2650104,M,533
PL 140250X,F,534
PL 2703000,F,535
AC 10203A2,M,536
ABC0100001,M,537
GCI0000000,M,538
PL 1907800,M,539
VTL03750MB,I,540
PL 26025F0,F,541
VTL06002AB,M,542
PL 2650302,F,543
VTL1192D2C,F,544
LOC00000BF,F,545
VTL119202U,F,546
PHL0229000,V,547
PL 1000501,M,548
PL 2155202,F,549
PL 2155007,M,550
PL 2405002,M,551
PL 2404502,M,552
PL 2400800,M,553
VTL121000A,I,554
PL 265031A,F,555
TAX181700D,M,556
PL 2602001,M,557
PL 130651B,F,558
PL 12042CB,F,559
PL 2630500,F,560
PL 4602001,F,561
PL 1252502,F,562
PL 1553009,F,563
CPL5701400,M,564
PL 2252001,F,565
VTL112800A,I,566
PL 12004C4,F,567
PL 2155201,F,568
PL 120054X,F,569
PL 1051700,F,570
PL 1561002,F,571
PL 140100F,M,572
PL 140251A,F,573
PL 2651301,F,574
PL 12005XB,F,575
PL 2252002,F,576
AC 019176B,V,577
PL 2500500,F,578
PL 1654503,F,579
PL 1201403,M,580
VTL1192U2S,M,581
VTL05110A3,M,582
PL 150201X,F,583
PL 1305004,F,584
PL 225102A,F,585
PL 1707002,F,586
PL 400101A,M,587
VTL11920E4,F,588
PL 1305300,F,589
PL 2051700,F,590
PL 1352000,F,591
VTL0509004,I,592
VTL112700A,I,593
PL 265033S,F,594
PL 2201610,F,595
PL 12005H3,F,596
PL 1050501,M,597
PL 2200903,F,598
PL 12070E1,F,599
VTL0375040,I,600
VTL1141000,I,601
PL 2104500,M,602
VTL0411001,I,603
PL 121110B,M,604
PAR000103C,V,605
PL 16010AX,F,606
PL 2504501,F,607
PL 1908100,M,608
ED 6512000,F,609
PL 1304002,F,610
PL 160103H,F,611
PL 2050500,M,612
PL 2204103,F,613
PL 1404000,M,614
PL 120003H,F,615
VTL118000D,I,616
PL 120150H,M,617
VTL040101A,I,618
PL 1251501,F,619
VTL0509002,I,620
PL 1651002,F,621
PL 2200905,F,622
PL 1907902,F,623
TWN0000000,M,624
PL 130351H,F,625
PL 2201605,F,626
PL 120101H,F,627
GB 0089G1A,M,628
PL 1204502,M,629
PL 2201613,F,630
VTL1192U3C,M,631
PL 2200608,F,632
PL 1950001,M,633
GOB0000000,M,634
PL 16515M4,M,635
PL 1355002,F,636
PL 120059H,F,637
PL 130801B,F,638
PL 1781501,F,639
PL 1707500,F,640
PL 130751B,F,641
PL 1304500,F,642
PL 2450503,V,643
CPL4104000,M,644
PL 12005XA,F,645
COR0168E1B,F,646
PL 2150000,F,647
PL 1401703,F,648
PL 2602102,M,649
PL 1306002,M,650
ECLB0536F1,F,651
PL 190651B,F,652
PL 2651102,F,653
PL 130801A,F,654
PL 490200T,F,655
PL 263100X,F,656
PL 2631000,F,657
PL 120406C,F,658
GB 0322B00,M,659
PL 1650502,M,660
PL 263150X,F,661
PL 2350600,F,662
VTL112800C,I,663
PL 165154A,M,664
VTL1229C3B,I,665
PL 12004D5,F,666
PL 1553010,F,667
PL 1307001,F,668
PL 2504504,F,669
PL 2404501,M,670
PL 1561001,F,671
PL 1752500,F,672
VTL0375030,I,673
AM 035102B,F,674
PL 460201A,F,675
CPL5701200,M,676
GB 0340000,F,677
PL 2403103,F,678
TAX1804000,M,679
PL 1655200,F,680
TAX1805000,M,681
PL 2200908,F,682
VTL0375004,I,683
PL 1001000,F,684
MD 0050A00,M,685
VTL11920D4,F,686
PL 1401702,F,687
PL 1651507,M,688
PL 2650402,F,689
VTL1227001,I,690
PL 140304H,F,691
LOC000000I,I,692
PL 1451200,F,693
PL 2151000,M,694
TAX1803000,F,695
PL 14010EH,M,696
PL 140251H,F,697
PL 2650103,M,698
PL 1560500,M,699
PL 215100A,M,700
VTL0511A3B,M,701
PL 2650202,F,702
VTL034000A,M,703
PL 120200H,F,704
PL 1907801,M,705
PL 130301T,F,706
PL 27000AI,M,707
PL 2505500,M,708
ABC0114000,M,709
BUS000000M,M,710
PL 1908200,F,711
PL 120052X,F,712
PL 2151201,F,713
PL 150101H,F,714
PL 1706502,F,715
PL 2653600,M,716
ABC0106005,M,717
PL 145001H,F,718
PL 1306601,F,719
VTL114400A,I,720
PL 2405502,F,721
PL 120080T,F,722
PL 1303002,F,723
PL 4901000,F,724
PL 1050502,M,725
PL 1653002,M,726
VTL0377001,M,727
ED 6810000,M,728
PL 1450002,M,729
PL 2405503,F,730
PL 1906501,F,731
PL 120057H,F,732
COR0168EC1,F,733
PL 130671A,F,734
PL 2201806,F,735
VTL0375022,I,736
PL 1452500,M,737
PL 1200505,F,738
PL 135050H,F,739
PL 145052H,F,740
PL 2303402,F,741
PL 145230C,F,742
PL 2201604,F,743
PL 120060T,F,744
PL 1204503,M,745
VTL1225D01,I,746
TAX1814C22,F,747
PL 21551B1,F,748
PL 1200506,F,749
PL 2651101,F,750
PL 2702001,F,751
COR0168E1A,F,752
PL 1650902,M,753
ABC0106015,M,754
PL 120054H,F,755
VTL0511A3A,M,756
PL 1902502,M,757
TRR0403A1I,I,758
PL 1356004,M,759
PL 1906001,M,760
PL 265091A,F,761
PL 1762000,F,762
VTL1192EAC,F,763
PL 1750501,M,764
PL 1201004,F,765
PL 2352200,F,766
PL 120130H,F,767
VTL0402004,I,768
AC 024218A,V,769
VTL1192U1C,M,770
PL 2404600,F,771
VTL116000E,I,772
PL 265025A,F,773
PL 2402602,V,774
PL 4702002,F,775
PL 1355001,F,776
PL 160050H,F,777
VTL1229C03,I,778
PL 160050X,F,779
PL 120051H,F,780
VTL0375031,I,781
VTL1192U3S,M,782
PAR000105F,V,783
PL 24037V2,V,784
PL 2406006,F,785
PL 1252504,F,786
PL 1654504,F,787
ED 6513000,M,788
PL 2650802,F,789
PL 2204105,F,790
PL 1762500,F,791
PL 1403004,F,792
RR 0053E00,F,793
ACA0251300,M,794
PL 2001000,F,795
PL 170703B,F,796
PL 140250T,F,797
PL 190801F,F,798
VTL0511A3C,M,799
PL 2406100,F,800
AM 036000M,M,801
PL 2103500,M,802
PL 165154C,M,803
VTL112200A,I,804
PL 2350501,M,805
VTL116300B,I,806
PL 2651006,F,807
PL 1800500,M,808
PL 140252H,F,809
PL 4702001,F,810
COR0168EB2,F,811
PL 145003H,F,812
PL 2155005,M,813
COR0168D2A,F,814
PL 1704502,M,815
ABC0065A00,V,816
VTL1192E2S,F,817
PL 2203407,F,818
PL 140100C,M,819
PL 2650105,M,820
PL 2051900,F,821
VTL1192D3C,F,822
PL 2207701,F,823
PL 1354502,M,824
PHL3383000,M,825
PL 2001200,F,826
PL 2000400,F,827
PL 1502001,F,828
PL 1304001,F,829
TAX1814C12,F,830
VTL1192U4C,M,831
PL 2600600,F,832
PL 1352501,F,833
PL 120600X,F,834
PL 2403003,M,835
PL 160153X,F,836
PL 2403506,V,837
VTL1192E4A,F,838
PL 2703500,F,839
PL 2155004,M,840
PL 2410501,F,841
PL 2207702,F,842
PL 2400500,M,843
PL 190651A,F,844
PL 240302H,F,845
PL 1200510,F,846
PL 120250H,F,847
VTL0375024,I,848
PL 2402100,M,849
PL 165001A,M,850
PL 1205502,F,851
PL 1581500,F,852
PL 2051502,F,853
PL 120051X,F,854
VTL0402003,I,855
PL 27000A3,V,856
TAX18140H2,M,857
AC 10203A4,M,858
PL 2651300,F,859
BL 065002A,M,860
PL 2651200,F,861
PL 1302002,M,862
PL 1750503,M,863
PL 1051300,F,864
PL 2603401,F,865
PL 2650801,F,866
PL 1206002,F,867
PL 265027T,F,868
PL 2303002,F,869
PL 135250T,F,870
PL 145100H,F,871
VTL0375003,I,872
PL 2506000,F,873
PHL3380005,M,874
PL 1254000,F,875
PL 12527GT,F,876
PL 215100B,M,877
VTL0375034,I,878
ABC0153000,F,879
PL 1584500,F,880
PL 120104X,F,881
VTL12030D2,I,882
PL 1451500,M,883
VTL050906P,I,884
PL 2251503,M,885
VTL119202Z,F,886
PL 1356001,M,887
PL 1763000,F,888
PL 12004D1,F,889
FOA9000012,,890
PL 1800300,F,891
PL 2403502,V,892
PL 1651700,M,893
PL 26502BT,F,894
PL 26503AT,F,895
PL 12005WT,F,896
PL 240304H,F,897
PL 240503C,M,898
VTL116000B,I,899
PL 120502H,F,900
VTL0375012,I,901
PL 120057T,F,902
TAX0481002,F,903
PL 160101H,F,904
PL 2204106,F,905
PL 2253003,M,906
VTL1192E1S,F,907
ABC0130000,M,908
GB 0851A00,M,909
PL 160151X,F,910
PL 140200X,F,911
PL 1356003,M,912
PL 2603203,F,913
COR0168D06,F,914
PL 145050H,F,915
PL 1356501,F,916
PL 125271H,F,917
VTL0511A01,I,918
PL 2406001,F,919
PL 4700501,F,920
PL 155303H,F,921
PL 2201804,F,922
VTL1175000,I,923
PL 1051003,F,924
PL 120055H,F,925
PL 121120X,F,926
AM 0356000,M,927
PL 2203909,F,928
TAX1814AJ2,F,929
PL 26510M2,M,930
PL 26510F4,F,931
PL 26537M0,M,932
TAX18130E2,F,933
PL 12004C1,F,934
PL 23003A0,M,935
VTL119206U,M,936
COR0168D2B,F,937
PL 1651508,M,938
PL 16515M5,M,939
PL 155301H,F,940
PL 2204404,F,941
PL 2650207,F,942
VTL119202V,F,943
PL 13065BT,F,944
PL 1205503,F,945
PL 2400600,F,946
PL 2304000,M,947
VTL116000A,I,948
PL 4700502,F,949
PL 2400601,F,950
PL 155402B,F,951
PL 2201609,F,952
PL 263050X,F,953
VTL1123000,I,954
PL 2451100,M,955
NAV0049A2D,F,956
PL 120052T,F,957
AC 0019190,I,958
PL 12042DB,F,959
PL 1306001,M,960
PL 125271J,F,961
PL 27002MA,M,962
PL 14010FH,M,963
PL 2410502,F,964
PL 230341A,F,965
TL 0212000,M,966
PL 125251H,F,967
PL 12005CH,F,968
PL 1706503,F,969
ABC0100000,M,970
VTL125100A,I,971
PL 265091B,F,972
ABC0064A00,M,973
PL 12526A2,F,974
ABC0065C00,V,975
PL 1309502,F,976
PL 2202102,F,977
PL 125271F,F,978
PL 12005EH,F,979
PL 2151601,F,980
PL 130701A,F,981
VTL1225C2A,I,982
PL 2203903,F,983
ABC0065B00,V,984
PL 2056500,F,985
PL 2633000,F,986
VTL0415A01,F,987
PL 1354501,M,988
PL 160150X,F,989
ED 6512002,F,990
PL 2051002,F,991
PL 215000B,F,992
COR0168DC1,F,993
VTL05110AA,M,994
PL 26503AS,F,995
VTL119200A,I,996
CPL5303000,M,997
PL 2151502,F,998
VTL0355000,M,999
GML0080500,M,1000
TAX1806000,M,1001
PL 2002500,F,1002
PL 1563002,F,1003
JUD0486000,M,1004
PL 2750501,M,1005
VTL06050A1,M,1006
PL 1707003,F,1007
PL 140100D,M,1008
PL 135100H,F,1009
PL 1453001,V,1010
PL 120102T,F,1011
PL 2151102,F,1012
PL 4904700,F,1013
ECLY092401,V,1014
PL 120059X,F,1015
VTL0401B00,M,1016
PL 1950200,F,1017
PL 2203906,F,1018
PL 1750504,M,1019
PL 2406300,F,1020
PL 2001100,F,1021
VTL121100A,I,1022
PL 2152500,M,1023
PL 130671B,F,1024
VTL117400A,I,1025
PL 160150T,F,1026
VTL0410001,I,1027
PL 2350502,M,1028
PL 2600502,M,1029
TAX1802000,F,1030
PL 150150H,F,1031
PL 2754002,F,1032
PL 120120H,F,1033
PL 1951000,M,1034
PL 1902602,F,1035
PL 1902504,M,1036
PL 160154X,F,1037
AM 035102D,F,1038
PL 12005CX,F,1039
PL 460201C,F,1040
PL 1761000,M,1041
PL 2156500,M,1042
ABC0063000,M,1043
PL 130960T,F,1044
PL 2203406,F,1045
PL 2301900,F,1046
PL 140252X,F,1047
PL 130504T,F,1048
PL 1900501,M,1049
NAV0045001,M,1050
PL 1251300,F,1051
PL 140300X,F,1052
VTL0551001,I,1053
VTL112800D,I,1054
PL 1761500,F,1055
PL 2101000,F,1056
PL 12526WT,F,1057
VTL1192EAS,F,1058
PL 2600501,M,1059
PL 2204102,F,1060
PL 1902000,M,1061
PL 26510F1,F,1062
GB 0482000,M,1063
PL 1651100,F,1064
PL 155304H,F,1065
PL 1200000,M,1066
PL 1654500,F,1067
PL 2211000,M,1068
PL 2201600,F,1069
PL 2204300,F,1070
PL 2403000,M,1071
PL 2650200,F,1072
PL 2203900,F,1073
PL 1450000,M,1074
PL 1200500,F,1075
PL 2601000,M,1076
PL 1704000,F,1077
PL 1402500,F,1078
PL 1456000,M,1079
PL 2650100,M,1080
PL 1701000,F,1081
COR0168G02,F,1082
PL 2403001,M,1083
PL 1051000,F,1084
PL 1201400,M,1085
PL 1305201,M,1086
PL 1553000,F,1087
PL 2154000,F,1088
PL 2155000,M,1089
LOC00000V0,V,1090
TAX181400F,M,1091
PL 1401700,F,1092
PL 2200600,F,1093
PL 1252500,F,1094
PL 2505000,F,1095
PL 240301A,M,1096
PL 1204500,M,1097
PL 1200503,F,1098
PL 1201000,F,1099
PL 1950000,M,1100
PL 155250Z,M,1101
PL 2403704,M,1102
VTL05110MU,M,1103
VTL0511AMU,M,1104
PL 1305202,M,1105
PL 2151100,F,1106
PL 2205000,M,1107
PL 2751500,M,1108
PL 24037V0,V,1109
LOC00000M0,M,1110
VTL05110FE,F,1111
PL 24037MB,M,1112
ABC00000V0,V,1113
PL 1303500,F,1114
PL 1200200,F,1115
PL 2052500,F,1116
PL 1352500,F,1117
VTL03750I0,I,1118
PL 24037B2,M,1119
PL 2405000,M,1120
PL 120053A,F,1121
PL 2203400,F,1122
PL 1251500,F,1123
GCI00000M0,M,1124
PL 120000H,F,1125
PL 120053C,F,1126
PL 1653000,M,1127
LOC00000I0,I,1128
PL 1902500,M,1129
PL 1355000,F,1130
PL 2402000,V,1131
PL 2651B00,F,1132
PL 26510B0,F,1133
PHL3380000,M,1134
PL 12005BA,F,1135
PL 1205500,F,1136
VTL05110E1,F,1137
LOC00000MA,M,1138
PL 2200900,F,1139
PL 1302500,F,1140
TL 0014F4C,F,1141
PRL00000MA,M,1142
PL 2052000,M,1143
LOC00000MU,M,1144
PL 2405500,F,1145
PL 240551T,F,1146
PL 155300H,F,1147
PL 2303404,F,1148
PL 4701502,F,1149
VTL05110E3,F,1150
PL 2253000,M,1151
PL 12005BC,F,1152
PL 120060X,F,1153
PL 2450300,M,1154
PL 1205000,M,1155
PL 120070X,F,1156
PL 105150H,F,1157
PL 2403005,M,1158
ACA0330903,M,1159
AC 10177,M,1160
PL 2302001,M,1161
PL 135200X,F,1162
PL 2302500,F,1163
PL 2300300,M,1164
PL 26503CS,F,1165
PL 1908302,F,1166
PL 2200911,F,1167
PRL00000V0,V,1168
PL 2653702,M,1169
PL 120142H,F,1170
VTL1111000,I,1171
PL 120102H,F,1172
PL 2450302,M,1173
PL 2504505,F,1174
VTL123600A,I,1175
VTL1192U4A,M,1176
PL 2350700,F,1177
VTL119203V,F,1178
VTL119201C,I,1179
VTL0509003,I,1180
LOC00000FA,F,1181
PL 1907802,M,1182
VTL1102000,I,1183
PL 2450301,M,1184
TAX18140H1,M,1185
PL 2301100,F,1186
PL 490201T,F,1187
PL 4701503,F,1188
PL 2203907,F,1189
PL 2403600,M,1190
PL 24500B2,M,1191
VTL119202W,F,1192
PL 2651202,F,1193
PL 215000A,F,1194
PL 2303202,F,1195
PHL3383002,M,1196
PL 2300500,F,1197
PL 1553003,F,1198
PL 2403100,F,1199
PL 1753501,F,1200
PL 1651510,M,1201
PL 2407501,F,1202
PL 1655400,F,1203
PL 2051501,F,1204
PL 130701C,F,1205
PL 1580500,M,1206
PL 1206000,F,1207
PL 1772500,F,1208
PL 12527IT,F,1209
PL 2206501,F,1210
PL 135252B,F,1211
PL 2506002,F,1212
PL 2352101,F,1213
PL 2650210,F,1214
VTL0511AI0,I,1215
PL 19520A2,F,1216
PL 121130T,F,1217
PL 1500500,F,1218
LOC00000MB,M,1219
VTL116300C,I,1220
AM 0353A00,F,1221
PL 145002H,F,1222
PL 14025AT,F,1223
PL 16010AH,F,1224
PL 2653503,M,1225
